Player,Team,Pos,Age,EXP,Type,Rights,GP,MPG,PPG,RPG,AGP,SPG,BPG,2019-2020 AAV
Gordon Hayward,BOS,SF,30,9,PO,,45,33.4,17.3,6.5,4.1,0.8,0.4,"$31,957,493 "
Paul Millsap,DEN,PF,35,14,UFA,Bird,44,24.4,12,5.9,1.6,0.9,0.6,"$30,000,000 "
DeMar DeRozan,SAS,SG,31,10,PO,,61,34.3,22.2,5.6,5.6,1,0.2,"$27,800,000 "
Otto Porter Jr.,CHI,SF,27,6,PO,,14,23.6,11.9,3.4,1.8,1.1,0.4,"$26,631,244 "
Andre Drummond,CLE,C,27,7,PO,,57,32.9,17.7,15.2,2.7,1.9,1.6,"$25,434,263 "
Anthony Davis,LAL,PF,27,7,PO,,55,34.3,26.7,9.4,3.1,1.5,2.4,"$25,434,263 "
Hassan Whiteside,POR,C,31,8,UFA,Bird,61,31.3,16.3,14.2,1.2,0.4,3.1,"$24,604,885 "
Nicolas Batum,CHA,SG,31,11,PO,,22,22.9,3.6,4.5,3,0.8,0.4,"$24,000,000 "
Marc Gasol,TOR,C,35,12,UFA,Bird,36,27.5,7.6,6.3,3.4,0.8,0.9,"$22,642,350 "
Serge Ibaka,TOR,PF,31,11,UFA,Bird,50,27.5,16,8.3,1.5,0.5,0.8,"$21,666,667 "
Danilo Gallinari,OKC,SF,32,12,UFA,Bird,55,30.7,19.2,5.5,2.1,0.7,0.1,"$21,587,579 "
Jeff Teague,ATL,PG,32,11,UFA,Bird,59,24.8,10.9,2.4,5.2,0.7,0.3,"$19,000,000 "
Derrick Favors,NOP,PF,29,10,UFA,Bird,45,24.2,9.2,9.9,1.7,0.6,1,"$18,800,000 "
Bismack Biyombo,CHA,C,28,9,UFA,Bird,53,19.4,7.4,5.8,0.9,0.2,0.9,"$18,000,000 "
Tim Hardaway Jr.,DAL,SG,28,6,PO,,63,28.8,15.8,3.1,2,0.6,0.1,"$17,737,500 "
Kent Bazemore,SAC,SG,31,8,UFA,Bird,64,25.1,8.7,4.3,1.3,1.1,0.6,"$17,500,000 "
Evan Turner,MIN,SF,31,10,UFA,Bird,19,13.2,3.3,2,2,0.5,0.4,"$17,500,000 "
Goran Dragic,MIA,PG,34,12,UFA,Bird,54,28.4,16.1,3.1,5.1,0.6,0.1,"$17,000,450 "
Evan Fournier,ORL,SG,27,7,PO,,61,31.6,18.8,2.6,3.2,1.1,0.2,"$17,000,000 "
Tristan Thompson,CLE,C,29,9,UFA,Bird,57,30.2,12,10.1,2.1,0.6,0.9,"$16,400,000 "
Ian Mahinmi,WAS,C,33,12,UFA,Bird,38,21.2,7.4,5.7,1.3,0.8,1.2,"$16,000,000 "
Bobby Portis,NYK,PF,25,4,CO,,66,21.1,10.1,5.1,1.5,0.5,0.3,"$15,000,000 "
Marcus Morris,LAC,PF,31,9,UFA,Non-Bird,55,31.4,17.4,5.1,1.4,0.8,0.5,"$15,000,000 "
James Johnson,MIN,PF,33,10,PO,,32,19.3,8.4,3.7,2.3,0.8,1,"$14,431,700 "
Brandon Knight,DET,PG,28,9,UFA,Bird,26,17.8,7,1.6,2.7,0.4,0.1,"$14,000,000 "
Mason Plumlee,DEN,C,30,7,UFA,Bird,53,17,7.2,5.3,2.4,0.5,0.6,"$13,666,667 "
Jordan Clarkson,UTH,PG,28,6,UFA,Bird,63,24.2,15.1,2.7,2,0.7,0.2,"$12,500,000 "
Kelly Olynyk,MIA,C,29,6,PO,,59,18.5,7.7,4.4,1.6,0.6,0.3,"$12,500,000 "
Courtney Lee,DAL,SG,34,12,UFA,Bird,24,14.4,4.5,1.3,0.5,0.8,0.3,"$12,000,835 "
Solomon Hill,MIA,SF,29,7,UFA,Bird,54,18.4,5.4,2.9,1.8,0.7,0.2,"$12,000,000 "
John Henson,DET,PF,29,8,UFA,Bird,40,15,5.5,4.1,1.4,0.6,1.1,"$12,000,000 "
Tony Snell,DET,SG,28,6,PO,,59,27.8,8,1.9,2.2,0.5,0.3,"$11,500,000 "
Maurice Harkless,NYK,SF,27,8,UFA,Bird,62,23,5.8,3.9,1.1,0.9,0.5,"$10,500,000 "
