team_abbr,season,wins,losses,win_loss_pct,srs,pace,pace_rel,off_rtg,off_rtg_rel,def_rtg,def_rtg_rel
ATL,2018-19,29,53,0.354,-6.06,103.9,3.9,108.1,-2.3,113.9,3.5
ATL,2017-18,24,58,0.293,-5.3,98.3,1,105,-3.6,110.6,2
ATL,2016-17,43,39,0.524,-1.23,97.4,1,104.9,-3.9,105.7,-3.1
ATL,2015-16,48,34,0.585,3.49,97.1,1.3,105.1,-1.3,101.4,-5
ATL,2014-15,60,22,0.732,4.75,93.9,0,108.9,3.3,103.1,-2.5
ATL,2013-14,38,44,0.463,-0.88,94.6,0.7,105.9,-0.8,106.4,-0.3
ATL,2012-13,44,38,0.537,-0.08,92.6,0.6,104.8,-1.1,104.4,-1.5
ATL,2011-12,40,26,0.606,2.67,90.2,-1.1,104.9,0.3,101.2,-3.4
ATL,2010-11,44,38,0.537,-1.1,89.3,-2.8,106.1,-1.2,107,-0.3
ATL,2009-10,53,29,0.646,4.44,90.1,-2.6,111.9,4.3,106.7,-0.9
ATL,2008-09,47,35,0.573,1.7,89.6,-2.1,109.3,1,107.6,-0.7
ATL,2007-08,37,45,0.451,-2.23,91.1,-1.3,106.9,-0.6,108.9,1.4
ATL,2006-07,30,52,0.366,-4.86,90,-1.9,103,-3.5,108.3,1.8
ATL,2005-06,26,56,0.317,-4.69,90.4,-0.1,106.4,0.2,111.6,5.4
ATL,2004-05,13,69,0.159,-9.62,91.4,0.5,100.6,-5.5,111.1,5
ATL,2003-04,28,54,0.341,-5,90.8,0.7,101,-1.9,106.1,3.2
ATL,2002-03,35,47,0.427,-3.87,91,0,102.3,-1.3,106.1,2.5
ATL,2001-02,33,49,0.402,-4.41,91.9,1.2,101.8,-2.7,106.4,1.9
ATL,2000-01,25,57,0.305,-5.55,91.9,0.6,98.7,-4.3,104.3,1.3
BOS,2018-19,49,33,0.598,3.9,99.6,-0.4,112.2,1.8,107.8,-2.6
BOS,2017-18,55,27,0.671,3.23,96,-1.3,107.6,-1,103.9,-4.7
BOS,2016-17,53,29,0.646,2.25,96.8,0.4,111.2,2.4,108.4,-0.4
BOS,2015-16,48,34,0.585,2.84,98.5,2.7,106.8,0.4,103.6,-2.8
BOS,2014-15,40,42,0.488,-0.4,95.8,1.9,104.7,-0.9,104.5,-1.1
BOS,2013-14,25,57,0.305,-4.97,93.3,-0.6,102.9,-3.8,107.7,1
BOS,2012-13,41,40,0.506,-0.62,91.7,-0.3,103.1,-2.8,103.3,-2.6
BOS,2011-12,39,27,0.591,2.26,90.4,-0.9,101,-3.6,98.2,-6.4
BOS,2010-11,56,26,0.683,4.83,90.4,-1.7,106.2,-1.1,100.3,-7
BOS,2009-10,50,32,0.61,3.37,91.6,-1.1,107.7,0.1,103.8,-3.8
BOS,2008-09,62,20,0.756,7.44,90.4,-1.3,110.5,2.2,102.3,-6
BOS,2007-08,66,16,0.805,9.3,90.9,-1.5,110.2,2.7,98.9,-8.6
BOS,2006-07,24,58,0.293,-3.7,92,0.1,103.2,-3.3,106.9,0.4
BOS,2005-06,33,49,0.402,-1.59,92.2,1.7,105.2,-1,106.9,0.7
BOS,2004-05,45,37,0.549,0.35,93.3,2.4,107.5,1.4,106.6,0.5
BOS,2003-04,36,46,0.439,-1.99,93.2,3.1,102.1,-0.8,103.7,0.8
BOS,2002-03,44,38,0.537,-0.75,90.9,-0.1,101.2,-2.4,101.6,-2
BOS,2001-02,49,33,0.598,1.75,92.5,1.8,103.4,-1.1,101,-3.5
BOS,2000-01,36,46,0.439,-2.4,92.6,1.3,101.4,-1.6,103.7,0.7
BRK,2018-19,42,40,0.512,-0.4,100.8,0.8,109.6,-0.8,109.7,-0.7
BRK,2017-18,28,54,0.341,-3.67,98.9,1.6,106.9,-1.7,110.6,2
BRK,2016-17,20,62,0.244,-6.74,101.3,4.9,104.1,-4.7,110.7,1.9
BRK,2015-16,21,61,0.256,-7.12,95.2,-0.6,103.2,-3.2,110.9,4.5
BRK,2014-15,38,44,0.463,-3.13,92.7,-1.2,104.4,-1.2,107.4,1.8
BRK,2013-14,44,38,0.537,-1.58,91.4,-2.5,106.7,0,107.7,1
BRK,2012-13,49,33,0.598,1.25,88.8,-3.2,108.2,2.3,106.2,0.3
NJN,2011-12,22,44,0.333,-6.37,90.1,-1.2,102.9,-1.7,109.6,5
NJN,2010-11,24,58,0.293,-6.28,89.9,-2.2,103.1,-4.2,109.9,2.6
NJN,2009-10,12,70,0.146,-8.93,91.4,-1.3,100.6,-7,110.5,2.9
NJN,2008-09,34,48,0.415,-2.31,89.9,-1.8,108.3,0,111,2.7
NJN,2007-08,34,48,0.415,-5.15,91.5,-0.9,104,-3.5,109.4,1.9
NJN,2006-07,41,41,0.5,-1,91.4,-0.5,105.7,-0.8,106.6,0.1
NJN,2005-06,49,33,0.598,1.11,89.8,-0.7,103.9,-2.3,102.4,-3.8
NJN,2004-05,42,40,0.512,-1.82,89.1,-1.8,101.4,-4.7,103.1,-3
NJN,2003-04,47,35,0.573,1.88,89.4,-0.7,100.8,-2.1,98,-4.9
NJN,2002-03,49,33,0.598,4.42,91.6,0.6,103.8,0.2,98.1,-5.5
NJN,2001-02,52,30,0.634,3.67,91.8,1.1,104,-0.5,99.5,-5
NJN,2000-01,26,56,0.317,-5.3,91.8,0.5,100,-3,105.5,2.5
CHO,2018-19,39,43,0.476,-1.32,98.7,-1.3,111.4,1,112.5,2.1
CHO,2017-18,36,46,0.439,0.07,98.4,1.1,109.4,0.8,109.1,0.5
CHO,2016-17,36,46,0.439,-0.07,95.7,-0.7,108.8,0,108.6,-0.2
CHO,2015-16,48,34,0.585,2.36,95.7,-0.1,107.1,0.7,104.3,-2.1
CHO,2014-15,33,49,0.402,-3.44,93,-0.9,100.1,-5.5,103.5,-2.1
CHA,2013-14,43,39,0.524,-0.89,92.4,-1.5,103.6,-3.1,103.8,-2.9
CHA,2012-13,21,61,0.256,-9.29,91.5,-0.5,101.5,-4.4,111.5,5.6
CHA,2011-12,7,59,0.106,-13.96,91.1,-0.2,95.2,-9.4,110.4,5.8
CHA,2010-11,34,48,0.415,-4.08,89.6,-2.5,103.4,-3.9,107.8,0.5
CHA,2009-10,44,38,0.537,1.3,90.4,-2.3,104.4,-3.2,102.8,-4.8
CHA,2008-09,35,47,0.427,-1.2,88.3,-3.4,104.7,-3.6,106.1,-2.2
